rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
14	ANKRD11	ankyrin repeat domain 11	8036	51	0	1	3	1	1	4	9	8	6	8.715845e-05	1.200000e-04	9.587800e-01	3.288484e-07	4.315901e-04
15	RPGRIP1L	RPGRIP1-like	4052	11	0	0	12	0	0	0	12	7	6	2.086794e-03	1.000000e-05	9.999700e-01	3.899185e-07	4.733469e-04
16	ZNF430	zinc finger protein 430	1730	3	0	0	8	1	0	0	9	9	4	2.212930e-03	1.000000e-05	1.320000e-03	4.121884e-07	4.733469e-04
17	ME1	malic enzyme 1, NADP(+)-dependent, cytosolic	1771	5	0	0	0	1	0	3	4	4	2	2.803144e-04	1.000000e-04	4.606000e-02	5.154965e-07	5.571608e-04
18	KRTAP5-1	keratin associated protein 5-1	841	70	0	0	1	0	0	3	4	4	3	4.511329e-06	2.120000e-02	2.221000e-01	6.236136e-07	6.365709e-04
19	ZNF678	zinc finger protein 678	1755	52	0	1	4	0	0	0	4	4	1	3.731916e-04	1.000000e-04	8.162500e-01	6.756171e-07	6.533573e-04
20	CHD9	chromodomain helicase DNA binding protein 9	8794	6	1	0	1	0	0	4	5	5	3	5.694873e-03	3.000000e-05	1.508600e-01	1.006917e-06	9.118377e-04
21	UNC13A	unc-13 homolog A (C. elegans)	5276	2	0	0	2	0	0	3	5	5	3	4.921968e-04	1.100000e-04	9.808200e-01	1.042157e-06	9.118377e-04
22	STRBP	spermatid perinuclear RNA binding protein	2083	6	0	0	1	0	0	2	3	3	2	6.589999e-05	5.200000e-03	7.103333e-02	1.155565e-06	9.651066e-04
23	NOS3	nitric oxide synthase 3 (endothelial cell)	3996	39	2	0	8	1	0	0	9	8	6	5.634434e-05	1.500000e-03	1	2.451785e-06	1.958656e-03
24	ZNF708	zinc finger protein 708	1705	12	0	2	12	0	0	0	12	12	4	1.819420e-02	1.000000e-05	8.846600e-01	3.005604e-06	2.301041e-03
25	KIAA0100	KIAA0100	6862	2	0	1	0	0	0	3	3	3	1	2.369800e-04	1.000000e-03	9.790800e-01	3.852178e-06	2.831197e-03
26	NUP153	nucleoporin 153kDa	4512	15	0	0	0	0	0	4	4	4	1	2.523372e-03	1.000000e-04	5.510000e-03	4.085971e-06	2.887524e-03
27	ZNF680	zinc finger protein 680	1726	3	0	0	6	0	0	0	6	6	4	2.417959e-03	6.300000e-04	1.702000e-02	4.657815e-06	3.169730e-03
28	ZNF208	zinc finger protein 208	3856	28	0	1	15	0	0	0	15	10	11	3.312539e-02	1.000000e-05	3.531200e-01	5.273687e-06	3.440986e-03
29	OC90	otoconin 90	1486	98	0	0	0	2	2	0	4	4	3	2.670362e-05	9.330000e-02	3.570000e-02	5.430967e-06	3.440986e-03
30	IGDCC4	immunoglobulin superfamily, DCC subclass, member 4	3829	5	0	1	14	0	0	0	14	9	7	9.241883e-02	1.000000e-05	9.605400e-01	1.376518e-05	8.430716e-03
31	C7orf49	chromosome 7 open reading frame 49	482	315	0	0	0	0	0	3	3	3	1	1.115696e-03	1.000000e-03	7.173300e-01	1.640745e-05	9.666696e-03
32	PRKAA1	protein kinase, AMP-activated, alpha 1 catalytic subunit	1763	49	0	0	0	1	2	0	3	3	3	1.146953e-06	1	4.410000e-01	1.683543e-05	9.666696e-03
33	C5orf42	chromosome 5 open reading frame 42	9798	3	0	0	0	1	0	2	3	3	3	1.015483e-04	1	9.400000e-03	1.905422e-05	1.060916e-02
34	HRNR	hornerin	8561	22	0	2	5	0	0	0	5	5	3	2.095805e-01	1.000000e-05	4.051700e-01	2.949965e-05	1.594196e-02
35	EHMT2	euchromatic histone-lysine N-methyltransferase 2	4251	31	0	0	4	0	1	1	6	5	6	2.430267e-06	1	7.570000e-01	3.384756e-05	1.776900e-02
36	BFSP1	beaded filament structural protein 1, filensin	2032	87	0	0	0	0	0	3	3	3	1	4.331014e-03	1.000000e-03	5.781700e-01	5.781778e-05	2.950955e-02
37	FIGNL1	fidgetin-like 1	2029	155	0	0	2	0	0	2	4	4	3	5.993447e-04	7.800000e-03	8.474000e-01	6.205123e-05	3.081430e-02
38	ZNF578	zinc finger protein 578	1788	2	0	0	4	0	0	0	4	4	2	5.483684e-02	1.000000e-04	1.446400e-01	7.191157e-05	3.455702e-02
39	ZNF195	zinc finger protein 195	1910	0	2	4	5	0	0	0	5	5	1	5.602493e-01	1.000000e-05	9.967300e-01	7.334951e-05	3.455702e-02
40	LIPH	lipase, member H	1393	41	0	0	0	0	0	2	2	2	1	5.847220e-04	1.000000e-02	7.081000e-01	7.630356e-05	3.505004e-02
41	DMXL2	Dmx-like 2	9282	11	0	0	1	0	0	2	3	3	2	4.121844e-03	1.600000e-03	9.361000e-01	9.017189e-05	4.041020e-02
42	DYNC1I1	dynein, cytoplasmic 1, intermediate chain 1	2002	16	1	0	5	0	0	0	5	5	1	9.682146e-05	NaN	NaN	9.682146e-05	4.235708e-02
43	PLB1	phospholipase B1	4640	4	0	0	1	1	2	0	4	4	3	6.658977e-04	1.700000e-02	4.684000e-01	9.943299e-05	4.248795e-02
44	ACVR2B	activin A receptor, type IIB	1581	47	0	0	1	0	0	2	3	3	2	3.268263e-03	8.900000e-03	1.439000e-01	1.077119e-04	4.497951e-02
45	KRT9	keratin 9 (epidermolytic palmoplantar keratoderma)	1902	4	0	2	0	0	0	3	3	3	1	8.784719e-03	1.000000e-03	8.929700e-01	1.110608e-04	4.534735e-02
46	TMEFF1	transmembrane protein with EGF-like and two follistatin-like domains 1	1179	6	0	0	0	0	0	2	2	2	1	1.045044e-03	1.000000e-02	1.000000e-02	1.303051e-04	5.204839e-02
47	INPP4B	inositol polyphosphate-4-phosphatase, type II, 105kDa	2863	3	0	0	0	0	0	3	3	3	1	1.229699e-02	1.000000e-03	9.665700e-01	1.513287e-04	5.915985e-02
48	RYR2	ryanodine receptor 2 (cardiac)	15320	14	2	3	4	0	2	3	9	9	7	1.289546e-01	1.500000e-04	8.499000e-02	1.580807e-04	5.956430e-02
49	OR5L2	olfactory receptor, family 5, subfamily L, member 2	936	6	0	2	1	0	0	3	4	4	2	1.296352e-01	1.000000e-04	9.388900e-01	1.588468e-04	5.956430e-02
50	TAS2R31	taste receptor, type 2, member 31	934	38	0	0	0	0	0	2	2	2	1	1.336378e-03	1.000000e-02	2.250000e-02	1.633450e-04	6.002602e-02
51	ZNF814	zinc finger protein 814	2576	4	0	2	7	0	0	0	7	7	2	9.875262e-02	3.000000e-05	9.995800e-01	1.685175e-04	6.071255e-02
52	CBR4	carbonyl reductase 4	730	23	1	0	4	0	0	0	4	3	2	2.103781e-02	8.000000e-04	9.517500e-01	2.018339e-04	7.023282e-02
53	MUC17	mucin 17, cell surface associated	13532	22	0	1	5	0	0	0	5	5	4	2.982141e-02	1.866667e-03	1.814000e-01	2.025873e-04	7.023282e-02
54	DEAF1	deformed epidermal autoregulatory factor 1 (Drosophila)	1742	9	2	0	2	0	0	3	5	5	4	4.253558e-04	3.500000e-02	6.730000e-01	2.270828e-04	7.696151e-02
55	C5orf48	chromosome 5 open reading frame 48	417	111	0	0	0	0	0	2	2	2	1	1.944414e-03	1.000000e-02	1.000000e-02	2.303735e-04	7.696151e-02
56	TP73	tumor protein p73	2004	12	0	0	2	0	1	0	3	3	3	1.333952e-04	1	1.490000e-01	2.551852e-04	8.372807e-02
57	RBM27	RNA binding motif protein 27	3263	0	0	0	0	0	0	2	2	2	1	2.287631e-03	1.000000e-02	9.581500e-01	2.673190e-04	8.617052e-02
58	ZNF676	zinc finger protein 676	1775	13	1	0	4	0	0	0	4	4	2	2.391083e-01	1.000000e-04	2.448100e-01	2.783502e-04	8.817943e-02
59	WDR7	WD repeat domain 7	4581	3	0	0	1	0	0	3	4	4	3	6.044305e-03	4.200000e-03	6.708000e-01	2.940040e-04	9.105333e-02
60	ZC3H13	zinc finger CCCH-type containing 13	4866	14	0	0	1	1	0	1	3	3	3	8.031527e-04	1	2.400000e-02	2.973332e-04	9.105333e-02
61	HECTD1	HECT domain containing 1	8001	52	0	1	2	0	0	2	4	4	3	1.158208e-02	2.600000e-03	9.638000e-01	3.436101e-04	1.026908e-01
62	DPYD	dihydropyrimidine dehydrogenase	3207	5	0	0	1	0	0	2	3	3	2	3.083704e-02	3.100000e-03	2.979000e-01	3.511350e-04	1.026908e-01
63	RRS1	RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)	1100	2	0	0	0	0	0	2	2	2	1	3.093015e-03	1.000000e-02	9.411000e-01	3.521020e-04	1.026908e-01
64	ZNF695	zinc finger protein 695	1561	4	1	0	3	0	0	0	3	3	1	3.337105e-02	1.000000e-03	9.604600e-01	3.773539e-04	1.079355e-01
65	CPD	carboxypeptidase D	4225	23	0	0	1	0	0	2	3	3	2	1.139665e-02	3.000000e-03	9.120000e-01	3.857849e-04	1.079355e-01
66	NBPF3	neuroblastoma breakpoint family, member 3	1954	1	0	1	3	0	0	0	3	3	1	3.477416e-02	1.000000e-03	9.999800e-01	3.917878e-04	1.079355e-01
67	GDAP2	ganglioside induced differentiation associated protein 2	1589	14	0	0	0	0	0	4	4	4	1	3.935823e-04	NaN	NaN	3.935823e-04	1.079355e-01
68	IDE	insulin-degrading enzyme	3158	7	0	0	0	1	1	1	3	3	3	3.619813e-05	1	8.460000e-01	4.063785e-04	1.098059e-01
69	ENY2	enhancer of yellow 2 homolog (Drosophila)	445	7	0	0	5	0	0	0	5	4	2	4.325325e-04	NaN	NaN	4.325325e-04	1.132870e-01
70	ITCH	itchy E3 ubiquitin protein ligase homolog (mouse)	2681	14	0	1	6	0	0	0	6	4	4	4.344947e-04	NaN	NaN	4.344947e-04	1.132870e-01
71	C16orf89	chromosome 16 open reading frame 89	1486	0	2	13	2	2	0	0	4	4	2	9.904254e-02	3.600000e-04	9.873400e-01	4.411850e-04	1.132870e-01
72	ASPM	asp (abnormal spindle) homolog, microcephaly associated (Drosophila)	10542	0	0	0	1	0	0	2	3	3	2	3.988733e-02	1.000000e-03	9.950667e-01	4.439242e-04	1.132870e-01
73	FOXI1	forkhead box I1	1143	0	0	1	0	0	2	0	2	2	1	4.226842e-03	1.149000e-01	1.000000e-02	4.679736e-04	1.177883e-01
74	TMEM131	transmembrane protein 131	5812	7	0	0	3	0	1	0	4	3	4	8.159949e-03	5.600000e-03	7.042000e-01	5.186366e-04	1.287761e-01
75	PODXL2	podocalyxin-like 2	1848	77	0	0	3	0	1	0	4	4	4	2.361493e-04	1	1.510000e-01	5.737868e-04	1.405701e-01
76	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	2406	57	0	0	5	0	0	0	5	5	5	2.798656e-04	1	1.660000e-01	5.875199e-04	1.420407e-01
77	ZNF737	zinc finger protein 737	1624	0	0	3	13	0	0	0	13	13	7	4.953108e-01	4.000000e-05	8.197200e-01	6.377972e-04	1.515940e-01
78	FTSJ3	FtsJ homolog 3 (E. coli)	3105	0	0	1	0	0	0	2	2	2	1	6.002737e-03	1.000000e-02	1.330500e-01	6.435361e-04	1.515940e-01
79	MPZL3	myelin protein zero-like 3	730	53	0	0	0	0	0	2	2	2	1	6.294533e-03	1.000000e-02	8.126000e-01	6.718308e-04	1.562559e-01
80	PFKL	phosphofructokinase, liver	2430	2	0	0	2	0	1	1	4	4	4	1.551347e-04	1	3.480000e-01	6.871983e-04	1.578323e-01
81	TCIRG1	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3	2575	52	0	0	2	0	1	0	3	3	3	3.996331e-03	1	9.400000e-03	7.581668e-04	1.719822e-01
82	SPTAN1	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	7658	7	0	0	1	1	0	0	2	2	2	1.353839e-04	1	3.890000e-01	8.730030e-04	1.956166e-01
83	ZNF93	zinc finger protein 93	1876	0	4	6	4	0	0	0	4	4	2	9.996486e-01	1.000000e-04	8.458600e-01	1.020710e-03	2.216052e-01
84	PPP2R5D	protein phosphatase 2, regulatory subunit B', delta isoform	1871	18	0	0	1	1	1	0	3	3	3	1.006478e-04	1	5.640000e-01	1.026998e-03	2.216052e-01
85	CNTLN	centlein, centrosomal protein	4351	7	0	0	2	2	0	0	4	4	3	1.028339e-03	NaN	NaN	1.028339e-03	2.216052e-01
86	C5orf56	chromosome 5 open reading frame 56	393	66	0	0	0	0	0	2	2	2	1	2.677895e-03	2.000000e-02	6.470000e-01	1.037229e-03	2.216052e-01
87	ZNF714	zinc finger protein 714	1686	2	0	1	7	0	0	0	7	5	4	3.445211e-02	2.900000e-03	7.805000e-01	1.114902e-03	2.354622e-01
88	DDX60	DEAD (Asp-Glu-Ala-Asp) box polypeptide 60	5283	8	0	0	0	0	0	2	2	2	1	1.204191e-02	1.000000e-02	9.700500e-01	1.207145e-03	2.520465e-01
89	RCAN1	regulator of calcineurin 1	862	5	0	0	0	0	0	2	2	2	1	1.272973e-02	1.000000e-02	9.716000e-01	1.269025e-03	2.619896e-01
90	NAV2	neuron navigator 2	7554	0	0	1	1	2	0	0	3	3	2	5.002077e-03	1.200000e-01	1.080000e-01	1.293720e-03	2.641201e-01
91	MAP1A	microtubule-associated protein 1A	8423	0	1	1	0	0	0	2	2	2	1	1.358066e-02	1.000000e-02	1.320571e-01	1.345067e-03	2.715852e-01
92	CHPF	chondroitin polymerizing factor	2341	6	0	1	1	2	0	0	3	3	2	3.012115e-03	5.000000e-02	1	1.476064e-03	2.936928e-01
93	GPR124	G protein-coupled receptor 124	4068	4	0	0	1	0	2	0	3	3	3	4.659203e-04	1	2.630000e-01	1.495551e-03	2.936928e-01
94	SLFN12L	schlafen family member 12-like	1868	17	1	0	2	0	0	0	2	2	1	1.536141e-02	1.000000e-02	9.960000e-01	1.502510e-03	2.936928e-01
95	OR5K4	olfactory receptor, family 5, subfamily K, member 4	964	286	0	0	0	0	0	2	2	2	1	1.673224e-02	1.000000e-02	9.499000e-01	1.622289e-03	3.137679e-01
96	ARF4	ADP-ribosylation factor 4	563	41	0	0	0	0	0	2	2	2	1	1.699896e-02	1.000000e-02	6.998000e-01	1.645461e-03	3.149343e-01
97	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	4716	11	0	0	2	1	1	0	4	4	4	1.021698e-03	1	9.500000e-02	1.712864e-03	3.244553e-01
98	ZFYVE27	zinc finger, FYVE domain containing 27	1298	24	0	0	3	0	0	0	3	3	2	3.853151e-03	4.100000e-02	7.880000e-01	1.774685e-03	3.327352e-01
99	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	4145	10	0	0	4	0	0	0	4	4	4	1.634600e-03	1	6.900000e-02	1.828703e-03	3.393999e-01
100	SPOCD1	SPOC domain containing 1	3711	25	0	0	3	0	1	0	4	4	4	2.066266e-04	1	8.240000e-01	1.959770e-03	3.600882e-01
101	CD72	CD72 molecule	1112	79	0	0	2	0	0	1	3	3	3	1.290685e-03	1	1.420000e-01	2.089630e-03	3.801472e-01
102	ASB13	ankyrin repeat and SOCS box-containing 13	859	0	0	0	0	1	1	0	2	2	2	4.988975e-04	1	1.080000e-01	2.110699e-03	3.802156e-01
103	MED12	mediator complex subunit 12	6710	4	0	0	3	0	0	0	3	3	2	9.099546e-02	2.800000e-03	5.662000e-01	2.363173e-03	4.215625e-01
104	ZNF257	zinc finger protein 257	1705	4	0	3	5	0	0	0	5	5	4	6.470030e-01	1.560000e-02	1.540000e-02	2.396357e-03	4.233717e-01
105	LRRC43	leucine rich repeat containing 43	2308	22	0	0	0	0	0	2	2	2	1	2.671796e-02	1.000000e-02	9.163000e-01	2.465424e-03	4.282748e-01
106	FGA	fibrinogen alpha chain	2665	40	0	1	3	0	0	0	3	3	2	1.409601e-01	3.500000e-03	5.661000e-01	2.470726e-03	4.282748e-01
107	FAM129C	family with sequence similarity 129, member C	2270	82	1	0	5	0	0	0	5	4	5	3.497745e-03	6.100000e-02	9.940000e-01	2.626272e-03	4.391030e-01
108	CHD3	chromodomain helicase DNA binding protein 3	6440	3	0	0	8	1	0	0	9	8	8	1.068378e-02	2.300000e-02	9.180000e-01	2.639701e-03	4.391030e-01
109	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	1244	33	0	0	0	0	0	3	3	3	3	1.782515e-03	1	1.370000e-01	2.656711e-03	4.391030e-01
110	DUSP21	dual specificity phosphatase 21	573	71	0	0	2	0	0	0	2	2	1	1.530757e-02	1.700000e-02	2.070000e-01	2.659105e-03	4.391030e-01
111	TARS2	threonyl-tRNA synthetase 2, mitochondrial (putative)	2227	26	0	0	0	0	1	0	1	1	1	2.672011e-03	NaN	NaN	2.672011e-03	4.391030e-01
112	ANKDD1A	ankyrin repeat and death domain containing 1A	1627	2	0	2	4	0	0	0	4	3	2	4.120189e-01	1.666667e-04	9.943667e-01	2.676583e-03	4.391030e-01
113	DCAF8L1	DDB1 and CUL4 associated factor 8-like 1	1804	59	0	0	0	0	0	2	2	2	1	3.002209e-02	1.000000e-02	4.959000e-01	2.735310e-03	4.447663e-01
114	NPC1L1	NPC1 (Niemann-Pick disease, type C1, gene)-like 1	4158	0	0	0	3	1	0	0	4	3	3	5.165028e-02	5.900000e-03	8.114000e-01	2.771904e-03	4.467628e-01
115	P2RY4	pyrimidinergic receptor P2Y, G-protein coupled, 4	1098	4	0	0	1	1	0	0	2	2	2	7.242607e-04	1	4.170000e-01	2.954291e-03	4.720186e-01
116	ZNF716	zinc finger protein 716	1501	181	0	0	5	0	0	0	5	5	3	5.614803e-01	6.666667e-04	3.215333e-01	3.030565e-03	4.800311e-01
117	IRF6	interferon regulatory factor 6	1432	22	0	0	2	0	0	1	3	3	3	2.488100e-03	1	1.240000e-01	3.161478e-03	4.964871e-01
118	UPP2	uridine phosphorylase 2	1159	68	0	0	2	0	0	0	2	2	1	3.645684e-02	1.000000e-02	9.978000e-01	3.250783e-03	5.061854e-01
119	ADRA1A	adrenergic, alpha-1A-, receptor	1690	1	0	0	9	0	0	0	9	7	7	3.518617e-01	7.666667e-04	9.999000e-01	3.335737e-03	5.150489e-01
120	ZNF92	zinc finger protein 92	1774	14	0	1	4	0	0	0	4	4	3	2.412117e-02	1.500000e-02	9.580000e-01	3.608202e-03	5.524759e-01
121	SLC35D3	solute carrier family 35, member D3	1255	29	0	0	2	0	0	0	2	2	1	4.267492e-02	1.000000e-02	5.029000e-01	3.738031e-03	5.619750e-01
122	SUN3	Sad1 and UNC84 domain containing 3	1118	90	0	0	2	0	0	0	2	2	1	8.385735e-03	7.100000e-02	5.410000e-01	3.810161e-03	5.619750e-01
123	DPCR1	diffuse panbronchiolitis critical region 1	4190	0	0	3	18	0	0	0	18	16	12	4.047789e-01	3.000000e-04	9.937200e-01	3.818694e-03	5.619750e-01
124	MARCH7	membrane-associated ring finger (C3HC4) 7	2151	69	0	0	0	0	0	2	2	2	1	4.394870e-02	1.000000e-02	7.448000e-01	3.836679e-03	5.619750e-01
125	AMZ1	archaelysin family metallopeptidase 1	1517	4	0	0	0	0	1	0	1	1	1	3.844287e-03	NaN	NaN	3.844287e-03	5.619750e-01
126	OR5R1	olfactory receptor, family 5, subfamily R, member 1	973	45	0	0	2	0	0	2	4	4	3	1.433915e-02	2.600000e-02	1.500000e-02	3.875505e-03	5.619750e-01
127	UPF1	UPF1 regulator of nonsense transcripts homolog (yeast)	3449	45	0	2	4	0	0	0	4	3	3	9.284544e-02	3.930000e-02	8.300000e-02	3.884338e-03	5.619750e-01
128	DFNB31	deafness, autosomal recessive 31	2768	9	0	2	1	2	0	0	3	3	2	3.989014e-03	4.620000e-01	6.000000e-02	3.985061e-03	5.720430e-01
129	PADI2	peptidyl arginine deiminase, type II	2060	6	0	0	2	0	1	0	3	3	3	2.342528e-03	1	1.670000e-01	4.167590e-03	5.936070e-01
130	UQCRC1	ubiquinol-cytochrome c reductase core protein I	1493	5	0	0	1	1	0	0	2	2	2	4.947892e-04	1	4.850000e-01	4.260817e-03	6.022174e-01
131	MYO9B	myosin IXB	6642	2	0	0	2	0	1	1	4	4	4	5.057893e-04	1	3.770000e-01	4.344422e-03	6.093467e-01
132	WHSC1	Wolf-Hirschhorn syndrome candidate 1	4254	3	1	0	1	2	0	0	3	3	2	5.771912e-02	9.000000e-03	2.083000e-01	4.448083e-03	6.191596e-01
133	KIF1A	kinesin family member 1A	5257	5	0	1	5	1	0	0	6	5	6	7.306711e-02	2.290000e-02	2.098000e-01	4.498038e-03	6.214057e-01
134	SPTA1	spectrin, alpha, erythrocytic 1 (elliptocytosis 2)	7464	16	0	1	2	1	1	0	4	4	3	1.629863e-01	3.200000e-03	9.312000e-01	4.586785e-03	6.289372e-01
135	IGFALS	insulin-like growth factor binding protein, acid labile subunit	1938	15	0	0	3	0	0	0	3	3	3	7.267565e-03	1	3.200000e-02	4.804439e-03	6.377805e-01
136	TCHH	trichohyalin	5836	29	0	0	2	0	0	2	4	3	3	2.208460e-01	2.500000e-03	9.999000e-01	4.859183e-03	6.377805e-01
137	MLLT6	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6	3360	10	0	0	2	0	1	0	3	3	3	5.756979e-04	1	5.190000e-01	4.870362e-03	6.377805e-01
138	ARHGEF11	Rho guanine nucleotide exchange factor (GEF) 11	4849	7	0	0	2	0	1	0	3	3	3	1.176826e-02	1	4.200000e-02	4.877424e-03	6.377805e-01
139	MGA	MAX gene associated	9290	11	0	0	1	2	0	2	5	4	5	5.771531e-04	1	9.280000e-01	4.881216e-03	6.377805e-01
140	SPATA18	spermatogenesis associated 18 homolog (rat)	1665	8	0	0	1	1	0	0	2	2	2	7.605849e-03	1	7.400000e-02	4.887864e-03	6.377805e-01
141	RASGRF2	Ras protein-specific guanine nucleotide-releasing factor 2	3818	5	0	0	0	0	1	0	1	1	1	4.909984e-03	NaN	NaN	4.909984e-03	6.377805e-01
142	PTPRJ	protein tyrosine phosphatase, receptor type, J	4117	5	0	0	2	0	0	0	2	2	2	5.835609e-02	1	1.000000e-02	4.928966e-03	6.377805e-01
143	THAP6	THAP domain containing 6	777	0	0	0	2	0	1	0	3	3	2	5.122349e-03	NaN	NaN	5.122349e-03	6.581681e-01
144	CD300LD	CD300 molecule-like family member d	1289	24	0	0	0	0	1	0	1	1	1	5.190136e-03	NaN	NaN	5.190136e-03	6.622469e-01
145	PRB2	proline-rich protein BstNI subfamily 2	1265	96	0	0	2	0	0	0	2	2	1	6.322749e-02	1.000000e-02	6.429000e-01	5.289729e-03	6.702999e-01
146	THAP1	THAP domain containing, apoptosis associated protein 1	650	325	0	0	2	0	0	0	2	2	1	6.524339e-02	1.000000e-02	5.865000e-01	5.437907e-03	6.843569e-01
147	KIF11	kinesin family member 11	3255	9	0	0	0	0	2	0	2	2	2	1.603215e-03	1	4.130000e-01	5.590992e-03	6.988360e-01
148	CATSPERB	cation channel, sperm-associated, beta	3453	14	1	1	0	0	0	2	2	2	1	6.978682e-02	1.000000e-02	6.250000e-02	5.769611e-03	7.122344e-01
149	PVRL4	poliovirus receptor-related 4	1565	18	1	0	1	1	0	0	2	2	2	1.742413e-03	1	3.140000e-01	5.775712e-03	7.122344e-01
150	SRP54	signal recognition particle 54kDa	1575	9	0	0	0	0	2	0	2	2	2	7.524244e-04	1	2.530000e-01	6.164019e-03	7.522876e-01
151	GOLGB1	golgin B1, golgi integral membrane protein	9864	5	0	0	3	0	0	0	3	3	2	5.396976e-01	1.300000e-03	8.712000e-01	6.186683e-03	7.522876e-01
152	POLG2	polymerase (DNA directed), gamma 2, accessory subunit	1634	1	0	0	0	0	0	1	1	1	1	6.223344e-03	NaN	NaN	6.223344e-03	7.522876e-01
153	CHRNA1	cholinergic receptor, nicotinic, alpha 1 (muscle)	1487	13	0	0	0	1	0	0	1	1	1	6.435202e-03	NaN	NaN	6.435202e-03	7.728131e-01
154	USP17L2	ubiquitin specific peptidase 17-like 2	1593	163	0	0	3	0	0	0	3	3	3	8.176592e-04	1	9.200000e-01	6.630451e-03	7.883824e-01
155	SIM1	single-minded homolog 1 (Drosophila)	2341	67	0	0	2	0	0	1	3	3	3	1.877581e-03	1	3.550000e-01	6.650662e-03	7.883824e-01
156	ZNF343	zinc finger protein 343	1814	32	0	0	1	1	0	0	2	2	2	8.244112e-03	1	1.020000e-01	6.795341e-03	7.983219e-01
157	ST14	suppression of tumorigenicity 14 (colon carcinoma)	2640	18	1	0	2	0	1	0	3	3	3	8.481809e-04	1	9.080000e-01	6.846869e-03	7.983219e-01
158	DCBLD2	discoidin, CUB and LCCL domain containing 2	2388	24	0	0	0	0	0	2	2	2	1	8.560716e-02	1.000000e-02	2.085000e-01	6.902639e-03	7.983219e-01
159	TCTEX1D4	Tctex1 domain containing 4	674	3	0	0	0	0	0	1	1	1	1	6.920636e-03	NaN	NaN	6.920636e-03	7.983219e-01
160	DDHD1	DDHD domain containing 1	2776	4	0	0	0	0	1	0	1	1	1	6.966786e-03	NaN	NaN	6.966786e-03	7.983219e-01
161	MAP2	microtubule-associated protein 2	5804	3	0	0	0	0	0	2	2	2	2	8.755634e-04	1	4.880000e-01	7.040093e-03	7.983219e-01
162	ATXN3	ataxin 3	1128	2	1	0	1	0	0	1	2	2	2	7.085423e-03	NaN	NaN	7.085423e-03	7.983219e-01
163	BAALC	brain and acute leukemia, cytoplasmic	446	43	0	0	1	0	1	0	2	2	2	2.393183e-03	1	2.030000e-01	7.143473e-03	7.983219e-01
